step,epoch,train_loss,val_loss,lr,tokens_per_sec,gpu_mem_gb
462,1,1.144993,,1.419845e-03,984809.0,4.876
463,1,1.126763,,1.414355e-03,988184.7,4.876
464,1,1.109629,,1.408870e-03,985142.5,4.876
465,1,1.104296,,1.403388e-03,987508.4,4.876
466,1,1.097179,,1.397911e-03,984779.0,4.876
467,1,1.171781,,1.392438e-03,987616.6,4.876
468,1,1.065804,,1.386970e-03,988401.5,4.876
469,1,1.097317,,1.381506e-03,991086.7,4.876
470,1,1.119530,,1.376046e-03,990290.5,4.876
471,1,1.129842,,1.370591e-03,986440.0,4.876
472,1,1.095216,,1.365141e-03,987111.2,4.876
473,1,1.133850,,1.359696e-03,990485.0,4.876
474,1,1.139790,,1.354256e-03,988517.0,4.876
475,1,1.068293,,1.348821e-03,989810.9,4.876
476,1,1.105888,,1.343391e-03,984184.8,4.876
477,1,1.078898,,1.337966e-03,986856.1,4.876
478,1,1.068631,,1.332546e-03,990781.3,4.876
479,1,1.115283,,1.327132e-03,986861.4,4.876
480,1,1.083751,,1.321723e-03,986870.3,4.876
481,1,1.080756,,1.316320e-03,984747.2,4.876
482,1,1.068825,,1.310923e-03,985345.6,4.876
483,1,1.082410,,1.305531e-03,987593.6,4.876
484,1,1.124473,,1.300146e-03,989427.9,4.876
485,1,1.083464,,1.294766e-03,988637.9,4.876
486,1,1.075852,,1.289392e-03,985997.7,4.876
487,1,1.112969,,1.284025e-03,984117.9,4.876
488,1,1.084265,,1.278663e-03,985278.4,4.876
489,1,1.071577,,1.273308e-03,986321.4,4.876
490,1,1.107346,,1.267960e-03,989830.5,4.876
491,1,1.149284,,1.262618e-03,980129.9,4.876
492,1,1.073176,,1.257282e-03,989362.0,4.876
493,1,1.099179,,1.251954e-03,987847.3,4.876
494,1,1.130717,,1.246632e-03,982447.2,4.876
495,1,1.086712,,1.241317e-03,983452.4,4.876
496,1,1.104636,,1.236009e-03,984066.8,4.876
497,1,1.092887,,1.230707e-03,983208.0,4.876
498,1,1.080700,,1.225414e-03,983220.3,4.876
499,1,1.106967,,1.220127e-03,988271.8,4.876
500,1,1.091100,1.114652,1.214848e-03,986657.7,4.876
501,1,1.110041,,1.209576e-03,983357.4,4.876
502,1,1.097842,,1.204311e-03,991803.7,4.876
503,1,1.058658,,1.199054e-03,989287.2,4.876
504,1,1.081652,,1.193805e-03,988723.2,4.876
505,1,1.044185,,1.188564e-03,984121.4,4.876
506,1,1.074669,,1.183330e-03,987120.1,4.876
507,1,1.083159,,1.178105e-03,989860.8,4.876
508,1,1.080808,,1.172887e-03,989014.9,4.876
